VB,BEB'X,PB',BEBX,VB',XB',XX,AX,BEAX,RB',EB',PX,NX,RX,EB,Bandgap
1,-2.628635934,7.4,-3.689630919,5,2.02,2.66,3.0590368,-3.689630919,1.035,2.179840003,4.7,53,1.273333333,1.656720003,1.9108
1,-2.628635934,7.4,-3.689630919,5,2.02,2.66,3.0590368,-3.154280889,1.035,2.179840003,4.7,53,1.273333333,1.656720003,1.9137
1,-3.823327814,6.8,-3.277171207,3,1.61,2.66,3.0590368,-3.276070522,0.675,3.441360006,4.7,53,1.273333333,0.841360001,1.9193
1,-2.628635934,7.4,-3.689630919,5,2.02,2.66,3.0590368,-3.277171207,1.035,2.179840003,4.7,53,1.273333333,1.656720003,1.9348
1,-2.628635934,7.4,-3.689630919,5,2.02,2.66,3.0590368,-3.276070522,1.035,2.179840003,4.7,53,1.273333333,1.656720003,1.9369
1,-3.823327814,6.8,-3.277171207,3,1.61,2.66,3.0590368,-3.154280889,0.675,3.441360006,4.7,53,1.273333333,0.841360001,1.9417
1,-2.628635934,7.4,-3.689630919,5,2.02,2.66,3.0590368,-3.400777446,1.035,2.179840003,4.7,53,1.273333333,1.656720003,1.9448
1,-4.29223865,6.6,-4.699781335,5,2.05,3.98,3.4011897,-5.73747418,0.83,2.749760004,0.557,9,0.705,0.795600001,1.9469
1,-3.823327814,6.8,-3.277171207,3,1.61,2.66,3.0590368,-3.689630919,0.675,3.441360006,4.7,53,1.273333333,0.841360001,1.948
11,-4.0354713,7.4,-3.178730516,5,2.02,3.98,3.4011897,-4.55891026,1.035,2.179840003,0.557,9,0.705,2.962960005,1.9544
1,-4.29223865,6.6,-4.699781335,5,2.05,3.98,3.4011897,-4.55891026,0.83,2.749760004,0.557,9,0.705,0.795600001,1.9881
1,-2.709008248,6.6,-3.400777446,5,2.05,2.66,3.0590368,-3.689630919,0.83,2.749760004,4.7,53,1.273333333,0.795600001,1.9903
1,-2.709008248,6.6,-3.400777446,5,2.05,2.66,3.0590368,-3.154280889,0.83,2.749760004,4.7,53,1.273333333,0.795600001,1.9927
1,-3.046107912,17.8,-3.689630919,3,1.36,2.66,3.0590368,-3.689630919,0.885,3.929120006,4.7,53,1.273333333,1.656720003,2.0011
1,-3.046107912,17.8,-3.689630919,3,1.36,2.66,3.0590368,-3.154280889,0.885,3.929120006,4.7,53,1.273333333,1.656720003,2.0173
11,-4.29223865,6.6,-3.178730516,5,2.05,3.98,3.4011897,-4.540020928,0.83,2.749760004,0.557,9,0.705,2.962960005,2.0366
11,-6.088833224,17.8,-3.178730516,3,1.36,3.98,3.4011897,-4.55891026,0.885,3.929120006,0.557,9,0.705,2.962960005,2.0375
